No.,Time,Protocol,Length,Info,Label
407,3.996494,10,86,24,5
408,3.99675,10,86,24,5
409,3.997007,10,86,24,5
410,3.997263,10,86,24,5
411,3.99752,10,86,24,5
412,3.997778,10,86,24,5
413,3.99804,10,86,24,5
414,3.998296,10,86,24,5
415,3.998549,10,86,24,5
416,3.998802,10,86,24,5
417,3.999062,10,86,24,5
418,3.999318,10,86,24,5
419,3.999574,10,86,24,5
420,3.999827,10,86,24,5
421,4.000083,10,86,24,5
422,4.000337,10,86,24,5
423,4.000593,10,86,24,5
424,4.000849,10,86,24,5
425,4.001124,10,86,24,5
426,4.001377,10,86,24,5
427,4.001632,10,86,24,5
428,4.001895,10,86,24,5
429,4.002165,10,86,24,5
430,4.002433,10,86,24,5
431,4.002689,10,86,24,5
432,4.002964,10,86,24,5
433,4.003221,10,86,24,5
434,4.003475,10,86,24,5
435,4.003731,10,86,24,5
436,4.004044,10,86,24,5
437,4.004304,10,86,24,5
438,4.004562,10,86,24,5
439,4.004826,10,86,24,5
440,4.005087,10,86,24,5
441,4.005344,10,86,24,5
442,4.0056,10,86,24,5
443,4.005857,10,86,24,5
444,4.006121,10,86,24,5
445,4.00638,10,86,24,5
446,4.006636,10,86,24,5
447,4.006896,10,86,24,5
448,4.007149,10,86,24,5
449,4.00742,10,86,24,5
450,4.007679,10,86,24,5
451,4.007941,10,86,24,5
452,4.008201,10,86,24,5
453,4.008455,10,86,24,5
454,4.008712,10,86,24,5
455,4.008973,10,86,24,5
456,4.009228,10,86,24,5
457,4.009481,10,86,24,5
458,4.009738,10,86,24,5
459,4.009997,10,86,24,5
460,4.010249,10,86,24,5
461,4.010502,10,86,24,5
462,4.010759,10,86,24,5
463,4.011018,10,86,24,5
464,4.011272,10,86,24,5
465,4.011523,10,86,24,5
466,4.011797,10,86,24,5
467,4.012057,10,86,24,5
468,4.01231,10,86,24,5
469,4.012563,10,86,24,5
470,4.012833,10,86,24,5
471,4.013087,10,86,24,5
472,4.013353,10,86,24,5
473,4.013616,10,86,24,5
474,4.013875,10,86,24,5
475,4.014131,10,86,24,5
476,4.014385,10,86,24,5
477,4.014639,10,86,24,5
478,4.014894,10,86,24,5
479,4.015153,10,86,24,5
480,4.015404,10,86,24,5
481,4.015662,10,86,24,5
482,4.015916,10,86,24,5
483,4.016168,10,86,24,5
484,4.016427,10,86,24,5
485,4.016693,10,86,24,5
486,4.016951,10,86,24,5
487,4.017204,10,86,24,5
488,4.017457,10,86,24,5
489,4.017716,10,86,24,5
490,4.017971,10,86,24,5
491,4.018226,10,86,24,5
492,4.018494,10,86,24,5
493,4.01875,10,86,24,5
494,4.019002,10,86,24,5
495,4.019258,10,86,24,5
